15,15,15,15,15,15,15,15,15
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
15,07,07,07,07,07,07,07,08
08,08,08,08,08,08,08,08,08
00,00,00,01,01,00,00,00,00
00,00,01,01,01,01,00,00,00
00,00,14,14,00,14,00,00,00
00,00,14,14,14,14,00,00,00
00,01,01,01,01,01,01,00,00
01,00,01,01,01,01,00,01,00
01,00,01,01,01,01,00,01,00
00,00,01,01,14,01,00,00,00
00,01,01,00,00,01,01,00,00
00,06,06,00,00,06,06,00,00
00,00,00,04,04,00,00,00,00
00,00,04,04,04,04,00,00,00
00,00,14,14,00,14,00,00,00
00,00,14,14,14,14,00,00,00
00,04,04,04,04,04,04,00,00
04,00,04,04,04,04,00,04,00
04,00,04,04,04,04,00,04,00
00,00,04,04,14,04,00,00,00
00,04,04,00,00,04,04,00,00
00,06,06,00,00,06,06,00,00
00,00,02,02,10,00,00,00,00
00,02,10,10,10,02,10,00,00
02,10,02,10,02,10,10,10,00
10,10,02,10,10,02,10,02,00
02,10,02,10,10,02,10,02,00
00,02,10,02,02,10,10,00,00
00,02,02,10,10,02,02,00,00
00,00,00,06,06,00,00,00,00
00,00,00,06,06,00,00,00,00
00,00,00,06,06,00,00,00,00
00,00,00,00,00,00,02,02,00
00,00,06,06,06,02,02,02,02
00,06,00,00,00,00,02,02,00
06,00,00,06,06,06,00,00,00
06,00,06,00,00,00,06,00,00
06,00,06,00,06,00,06,00,00
06,00,00,06,00,00,06,00,00
00,06,00,00,00,06,00,00,00
00,00,06,06,06,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,01,01,01,01,01,00,00
00,01,15,03,03,03,03,01,00
01,15,03,03,03,03,03,03,01
00,01,03,03,03,03,03,01,00
00,01,03,03,03,03,03,01,00
00,00,01,03,03,03,01,00,00
00,00,01,03,03,03,01,00,00
00,00,00,01,03,01,00,00,00
00,00,00,00,01,00,00,00,00
00,00,00,04,00,00,00,00,00
00,00,00,04,00,00,04,12,00
00,13,04,12,04,04,12,00,00
00,13,00,12,04,13,04,00,00
00,04,12,13,12,13,12,00,00
00,12,13,04,13,06,12,00,00
00,00,07,13,04,12,00,00,00
00,06,04,12,12,13,13,12,00
00,12,00,13,00,04,00,00,00
00,00,00,00,00,00,00,00,00
00,14,14,14,14,14,00,00,00
14,00,00,00,00,00,14,00,00
14,00,00,00,00,00,14,00,00
00,14,14,14,14,14,00,00,00
00,00,00,14,00,00,00,00,00
00,00,00,14,00,00,00,00,00
00,00,00,14,14,00,00,00,00
00,00,00,14,00,00,00,00,00
00,00,00,14,14,14,00,00,00
00,00,00,14,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00

